t,method,metric,value
500,oja_fp,subspace_error,0.9319288662229888
1000,oja_fp,subspace_error,0.9309178158509598
1500,oja_fp,subspace_error,0.9269033225773073
2000,oja_fp,subspace_error,0.9254630409647918
2500,oja_fp,subspace_error,0.9212269658602498
3000,oja_fp,subspace_error,0.9210034143912484
3500,oja_fp,subspace_error,0.9214153313759861
4000,oja_fp,subspace_error,0.9248078694494319
4500,oja_fp,subspace_error,0.922461669377023
5000,oja_fp,subspace_error,0.923713345985196
5500,oja_fp,subspace_error,0.9249504364309237
6000,oja_fp,subspace_error,0.926223743448997
6500,oja_fp,subspace_error,0.9267581206077404
7000,oja_fp,subspace_error,0.9271160553928122
7500,oja_fp,subspace_error,0.9278120906392097
8000,oja_fp,subspace_error,0.9303762116586578
8500,oja_fp,subspace_error,0.9330907354997564
9000,oja_fp,subspace_error,0.9361924130065905
9500,oja_fp,subspace_error,0.936924323251937
10000,oja_fp,subspace_error,0.9386098610743658
10500,oja_fp,subspace_error,0.9387132501267281
11000,oja_fp,subspace_error,0.9415918379407854
11500,oja_fp,subspace_error,0.9417198301873976
12000,oja_fp,subspace_error,0.9438755088484811
12500,oja_fp,subspace_error,0.942353907092297
13000,oja_fp,subspace_error,0.9436221765094969
13500,oja_fp,subspace_error,0.9450847683775013
14000,oja_fp,subspace_error,0.9438579372818212
14500,oja_fp,subspace_error,0.9436005913535077
15000,oja_fp,subspace_error,0.9443558541523013
15500,oja_fp,subspace_error,0.9432527955281829
16000,oja_fp,subspace_error,0.9434237614286605
16500,oja_fp,subspace_error,0.9436755892212005
17000,oja_fp,subspace_error,0.9437728076274412
17500,oja_fp,subspace_error,0.942693968653843
18000,oja_fp,subspace_error,0.9430695984834792
18500,oja_fp,subspace_error,0.9422807147702725
19000,oja_fp,subspace_error,0.9429674387680947
19500,oja_fp,subspace_error,0.9416534749697375
20000,oja_fp,subspace_error,0.9401872494441971
500,oja_fp,explained_variance,0.09501860970932212
1000,oja_fp,explained_variance,0.09552550174008805
1500,oja_fp,explained_variance,0.09412741201500492
2000,oja_fp,explained_variance,0.0912365722439842
2500,oja_fp,explained_variance,0.09291297592634806
3000,oja_fp,explained_variance,0.0884918462829672
3500,oja_fp,explained_variance,0.08953856281869642
4000,oja_fp,explained_variance,0.08961498451354855
4500,oja_fp,explained_variance,0.08761548788986016
5000,oja_fp,explained_variance,0.08858099473513395
5500,oja_fp,explained_variance,0.08894513985560525
6000,oja_fp,explained_variance,0.09019761571279246
6500,oja_fp,explained_variance,0.09116891758454726
7000,oja_fp,explained_variance,0.09108074458857429
7500,oja_fp,explained_variance,0.09345997518118336
